column,dtype,null_count,null_pct,unique_count,unique_ratio,sample_value,high_cardinality_flag
date,"datetime64[ns, UTC]",0,0.0,1826,1.0,2021-01-01 00:00:00+00:00,True
Datetime (UTC),"datetime64[ns, UTC]",0,0.0,1826,1.0,2021-01-01 00:00:00+00:00,True
Carbon intensity gCO₂eq/kWh (Life cycle),float64,0,0.0,1795,0.983,692.645,True
Carbon intensity gCO₂eq/kWh (direct),float64,0,0.0,1794,0.9825,640.0095833333334,True
Renewable energy percentage (RE%),float64,0,0.0,1769,0.9688,15.312916666666666,True
Carbon-free energy percentage (CFE%),float64,0,0.0,1768,0.9682,15.770416666666668,True
Data estimated,float64,0,0.0,16,0.0088,1.0,False
estimated_hour_flag,int64,0,0.0,16,0.0088,24,False
estimated_hour_share,float64,0,0.0,16,0.0088,1.0,False
source_file,object,0,0.0,5,0.0027,hourly-2021.csv,False
Data source,object,0,0.0,3,0.0016,Electricity Maps Estimation,False
Data estimation method,object,0,0.0,3,0.0016,ESTIMATED_TIME_SLICER_AVERAGE,False
Country,object,0,0.0,1,0.0005,Kosovo,False
Zone name,object,0,0.0,1,0.0005,Kosovo,False
Zone id,object,0,0.0,1,0.0005,XK,False
hourly_row_count,int64,0,0.0,1,0.0005,24,False
