Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Kosovo,Kosovo,XK,587.92,637.02,22.63,22.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T01:00:00.000000,Kosovo,Kosovo,XK,595.72,645.26,21.6,21.41,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T02:00:00.000000,Kosovo,Kosovo,XK,597.69,647.2,21.36,21.32,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T03:00:00.000000,Kosovo,Kosovo,XK,599.9,649.52,21.07,21.07,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T04:00:00.000000,Kosovo,Kosovo,XK,604.68,654.6,20.44,20.44,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T05:00:00.000000,Kosovo,Kosovo,XK,701.33,757.95,7.7,7.3,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T06:00:00.000000,Kosovo,Kosovo,XK,701.46,758.11,7.67,7.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T07:00:00.000000,Kosovo,Kosovo,XK,713.16,770.77,6.11,5.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T08:00:00.000000,Kosovo,Kosovo,XK,702.01,758.94,7.6,6.91,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T09:00:00.000000,Kosovo,Kosovo,XK,685.73,741.58,9.78,8.87,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T10:00:00.000000,Kosovo,Kosovo,XK,680.95,736.46,10.41,9.37,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T11:00:00.000000,Kosovo,Kosovo,XK,679.09,734.47,10.64,9.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01T12:00:00.000000,Kosovo,Kosovo,XK,689.99,746.06,9.2,8.32,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
