day,month,year,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method,source_file,estimated_hour_flag,hourly_row_count,estimated_hour_share,hour,day_of_week,is_weekend,carbon_intensity_gap,cfe_re_gap,target_quantile_class,iqr_outlier_count,zscore_outlier_count,isolation_forest_flag,outlier_consensus_count,outlier_consensus_flag
1,1,2021,640.0095833333334,692.645,15.770416666666668,15.312916666666666,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,4,0,52.63541666666663,0.4575000000000013,Medium,3,3,1,3,1
2,1,2021,592.21125,642.0241666666667,21.948333333333338,21.771666666666665,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,5,1,49.81291666666675,0.1766666666666729,Medium,3,3,1,3,1
3,1,2021,633.35375,685.3608333333333,16.669999999999998,16.474999999999998,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,6,1,52.0070833333333,0.1950000000000002,Medium,3,3,1,3,1
4,1,2021,617.9712499999999,668.9808333333334,18.67875,18.483333333333334,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,0,0,51.00958333333347,0.1954166666666665,Medium,3,3,1,3,1
5,1,2021,614.395,665.0883333333333,19.176666666666662,18.9925,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,1,0,50.69333333333327,0.1841666666666626,Medium,3,3,1,3,1
6,1,2021,576.8179166666666,625.2854166666667,24.011666666666667,23.96166666666667,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,2,0,48.467500000000086,0.0499999999999971,Low,3,3,1,3,1
7,1,2021,626.6899999999999,678.4025,17.434583333333332,17.30125,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,3,0,51.71250000000009,0.1333333333333328,Medium,3,3,1,3,1
8,1,2021,586.1141666666666,636.5204166666666,22.06375,21.782916666666665,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,4,0,50.40625,0.2808333333333337,Low,3,3,1,3,1
9,1,2021,592.6125000000001,642.25625,21.825833333333335,21.75208333333333,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,5,1,49.643749999999955,0.0737500000000039,Medium,3,3,1,3,1
10,1,2021,620.4870833333333,671.8225,18.25,18.059583333333332,Electricity Maps Estimation,0.9583333333333334,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,23,24,0.9583333333333334,0,6,1,51.335416666666674,0.1904166666666675,Medium,3,3,1,3,1
11,1,2021,640.4833333333333,693.2275,15.56125,15.32875,kostt.com,0.0416666666666666,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,1,24,0.0416666666666666,0,0,0,52.744166666666615,0.2324999999999999,Medium,3,0,1,2,1
12,1,2021,580.5745833333333,629.1404166666667,23.543333333333333,23.484583333333333,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,1,0,48.56583333333344,0.0587499999999998,Low,3,3,1,3,1
13,1,2021,587.3216666666667,636.3445833333334,22.672083333333333,22.612916666666667,Electricity Maps Estimation,0.9583333333333334,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,23,24,0.9583333333333334,0,2,0,49.022916666666674,0.0591666666666661,Low,3,3,1,3,1
14,1,2021,565.2716666666666,613.615,25.200833333333335,25.125833333333333,kostt.com,0.0416666666666666,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,1,24,0.0416666666666666,0,3,0,48.34333333333336,0.0750000000000028,Low,3,0,1,2,1
15,1,2021,526.7925,572.6545833333333,30.234166666666667,30.086250000000003,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,4,0,45.86208333333332,0.1479166666666636,Low,3,3,1,3,1
16,1,2021,529.7595833333334,575.8270833333333,29.903333333333332,29.66208333333333,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,5,1,46.067499999999995,0.2412500000000008,Low,3,3,1,3,1
17,1,2021,570.665,619.5895833333333,24.425416666666667,24.042083333333338,Electricity Maps Estimation,0.9583333333333334,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,23,24,0.9583333333333334,0,6,1,48.92458333333332,0.3833333333333293,Low,3,3,1,3,1
18,1,2021,544.86875,591.6870833333334,27.980416666666667,27.974166666666665,kostt.com,0.0416666666666666,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,1,24,0.0416666666666666,0,0,0,46.818333333333385,0.0062500000000014,Low,3,0,1,2,1
19,1,2021,528.7954166666667,575.255,29.845,29.811666666666667,Electricity Maps Estimation,0.9583333333333334,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,23,24,0.9583333333333334,0,1,0,46.459583333333285,0.0333333333333314,Low,3,3,1,3,1
20,1,2021,534.1775,579.5795833333333,29.71625,29.69125,kostt.com,0.0416666666666666,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,1,24,0.0416666666666666,0,2,0,45.40208333333328,0.0249999999999985,Low,3,0,1,2,1
21,1,2021,533.62125,578.9816666666667,29.787916666666664,29.77208333333333,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,3,0,45.36041666666665,0.0158333333333331,Low,3,3,1,3,1
22,1,2021,547.6766666666666,593.9375,27.93541666666667,27.93541666666667,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,4,0,46.26083333333338,0.0,Low,3,3,1,3,1
23,1,2021,572.4483333333334,620.9375,24.475,24.346666666666668,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,5,1,48.48916666666662,0.1283333333333338,Low,3,3,1,3,1
24,1,2021,601.4483333333334,651.3958333333334,20.794166666666666,20.72625,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,6,1,49.94749999999999,0.0679166666666652,Medium,3,3,1,3,1
25,1,2021,607.1266666666667,657.73375,19.885833333333338,19.729166666666668,Electricity Maps Estimation,1.0,ESTIMATED_TIME_SLICER_AVERAGE,hourly-2021.csv,24,24,1.0,0,0,0,50.60708333333332,0.1566666666666698,Medium,3,3,1,3,1
