Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Kosovo,Kosovo,XK,612.16,667.76,17.69,13.36,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Kosovo,Kosovo,XK,641.81,699.26,13.88,9.22,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Kosovo,Kosovo,XK,643.12,701.16,13.56,8.28,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Kosovo,Kosovo,XK,641.53,699.58,13.67,8.54,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Kosovo,Kosovo,XK,647.2,705.28,13.03,8.3,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Kosovo,Kosovo,XK,641.0,698.71,13.81,9.2,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Kosovo,Kosovo,XK,661.83,719.93,11.39,7.84,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Kosovo,Kosovo,XK,655.29,712.37,12.91,8.79,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Kosovo,Kosovo,XK,630.64,686.11,16.69,11.92,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Kosovo,Kosovo,XK,603.35,657.73,20.31,15.34,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Kosovo,Kosovo,XK,589.75,643.39,21.98,17.38,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Kosovo,Kosovo,XK,595.48,649.61,21.13,16.56,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Kosovo,Kosovo,XK,607.45,662.15,19.4,14.86,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Kosovo,Kosovo,XK,629.78,685.62,15.9,12.44,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Kosovo,Kosovo,XK,601.49,655.52,19.33,16.4,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Kosovo,Kosovo,XK,567.8,618.85,23.84,22.29,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Kosovo,Kosovo,XK,552.34,602.44,25.82,24.16,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Kosovo,Kosovo,XK,561.53,612.24,24.63,22.85,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Kosovo,Kosovo,XK,579.47,631.45,22.26,20.16,entsoe.eu,false,""
2025-01-01T19:00:00.000000,Kosovo,Kosovo,XK,585.58,638.39,21.31,18.76,entsoe.eu,false,""
2025-01-01T20:00:00.000000,Kosovo,Kosovo,XK,596.32,649.83,19.98,17.28,entsoe.eu,false,""
2025-01-01T21:00:00.000000,Kosovo,Kosovo,XK,584.66,637.93,21.45,17.9,entsoe.eu,false,""
2025-01-01T22:00:00.000000,Kosovo,Kosovo,XK,597.1,651.52,19.76,15.57,entsoe.eu,false,""
2025-01-01T23:00:00.000000,Kosovo,Kosovo,XK,624.05,680.45,16.29,11.13,entsoe.eu,false,""
2025-01-02T00:00:00.000000,Kosovo,Kosovo,XK,638.94,696.28,14.32,9.25,entsoe.eu,false,""
2025-01-02T01:00:00.000000,Kosovo,Kosovo,XK,644.67,702.21,13.55,8.88,entsoe.eu,false,""
2025-01-02T02:00:00.000000,Kosovo,Kosovo,XK,643.34,700.78,13.69,9.26,entsoe.eu,false,""
2025-01-02T03:00:00.000000,Kosovo,Kosovo,XK,640.14,697.63,13.95,9.55,entsoe.eu,false,""
2025-01-02T04:00:00.000000,Kosovo,Kosovo,XK,643.74,701.54,13.43,9.29,entsoe.eu,false,""
2025-01-02T05:00:00.000000,Kosovo,Kosovo,XK,657.97,715.85,11.75,8.91,entsoe.eu,false,""
2025-01-02T06:00:00.000000,Kosovo,Kosovo,XK,690.97,749.85,7.7,6.24,entsoe.eu,false,""
2025-01-02T07:00:00.000000,Kosovo,Kosovo,XK,603.42,661.33,16.78,15.25,entsoe.eu,false,""
2025-01-02T08:00:00.000000,Kosovo,Kosovo,XK,533.0,589.64,24.73,23.1,entsoe.eu,false,""
2025-01-02T09:00:00.000000,Kosovo,Kosovo,XK,514.45,569.44,27.91,25.79,entsoe.eu,false,""
2025-01-02T10:00:00.000000,Kosovo,Kosovo,XK,519.8,575.17,27.37,24.92,entsoe.eu,false,""
2025-01-02T11:00:00.000000,Kosovo,Kosovo,XK,516.19,571.42,27.76,25.49,entsoe.eu,false,""
2025-01-02T12:00:00.000000,Kosovo,Kosovo,XK,523.69,579.43,26.51,24.47,entsoe.eu,false,""
2025-01-02T13:00:00.000000,Kosovo,Kosovo,XK,562.04,618.04,22.01,20.51,entsoe.eu,false,""
2025-01-02T14:00:00.000000,Kosovo,Kosovo,XK,576.01,627.48,22.83,21.65,entsoe.eu,false,""
2025-01-02T15:00:00.000000,Kosovo,Kosovo,XK,541.31,590.09,27.36,26.69,entsoe.eu,false,""
2025-01-02T16:00:00.000000,Kosovo,Kosovo,XK,537.74,585.95,28.01,27.18,entsoe.eu,false,""
